id	nome	bonus	possui_especializacao
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (121	,12	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (131	,12	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (146	,12	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (195	,12	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (201	,12	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (203	,12	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (210	,12	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (221	,12	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (222	,12	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (27	,13	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (50	,13	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (58	,13	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (65	,13	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (69	,13	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (70	,13	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (123	,13	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (124	,13	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (131	,13	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (195	,13	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (201	,13	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (203	,13	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (205	,13	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (210	,13	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (31	,17	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (37	,17	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (62	,17	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (65	,17	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (66	,17	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (71	,17	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (73	,17	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (106	,17	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (114	,17	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (131	,17	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (163	,17	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (205	,17	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (208	,17	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (243	,17	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (7	,19	,1		);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (28	,19	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (54	,19	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (65	,19	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (69	,19	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (78	,19	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (80	,19	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (91	,19	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (131	,19	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (138	,19	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (144	,19	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (154	,19	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (210	,19	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (222	,19	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (18	,16	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (31	,16	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (37	,16	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (62	,16	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (65	,16	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (71	,16	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (73	,16	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (106	,16	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (131	,16	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (150	,16	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (163	,16	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (205	,16	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (208	,16	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (214	,16	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (31	,15	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (37	,15	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (49	,15	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (62	,15	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (64	,15	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (65	,15	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (71	,15	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (106	,15	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (131	,15	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (180	,15	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (189	,15	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (205	,15	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (208	,15	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (241	,15	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (22	,18	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (31	,18	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (65	,18	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (69	,18	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (71	,18	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (79	,18	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (106	,18	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (131	,18	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (133	,18	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (147	,18	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (160	,18	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (161	,18	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (176	,18	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (210	,18	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (65	,22	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (69	,22	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (70	,22	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (80	,22	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (91	,22	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (115	,22	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (131	,22	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (143	,22	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (172	,22	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (201	,22	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (203	,22	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (204	,22	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (210	,22	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (219	,22	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (1	,23	,2		);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (27	,23	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (50	,23	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (58	,23	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (65	,23	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (69	,23	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (70	,23	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (90	,23	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (92	,23	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (131	,23	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (195	,23	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (205	,23	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (210	,23	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (235	,23	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (238	,23	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (246	,23	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (7	,20	,1		);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (10	,20	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (65	,20	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (69	,20	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (78	,20	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (111	,20	,3	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (131	,20	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (134	,20	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (138	,20	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (190	,20	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (197	,20	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (210	,20	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (211	,20	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (216	,20	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (7	,14	,1		);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (28	,14	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (59	,14	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (65	,14	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (78	,14	,2	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (105	,14	,1	);
INSERT INTO [magia_grupo_custo] ([id_magia],[id_magia_grupo],[custo]) VALUES (116	,14	,2	);
